UserId,NofCheckins
10834538,2
11518221,3
11066792,8
10751879,3
11312350,1
11420064,2
10786100,9
11247086,2
11377614,4
10691536,2
11234351,2
11292714,2
11609607,2
11757791,60
11226122,1
11220288,1
11435301,6
11028326,3
11745056,1
10694192,24
11664140,2
11138044,2
11746384,77
11078199,3
10940924,2
11333160,102
10879490,1
11285552,16
11810059,9
10691121,4
11405586,39
11017203,37
10797269,1
10996393,1
10716568,2
11173201,15
10689555,6
11796886,30
11489550,1
11720937,2
11703496,2
11598438,1
10917020,1
11440897,6
11667034,1
11766043,2
10670288,1
11666358,3
11498999,1
10872566,1
11588405,2
11418974,8
11771201,9
11379180,1
10888003,3
11506161,1
10707863,2
10719224,1
11149213,2
11496343,1
11457877,21
10653308,9
11058325,3
10745370,7
11439784,1
11478189,1
11815870,4
11760055,4
11576300,2
10666741,2
11316418,10
11823991,1
11199040,6
11727792,1
11739245,6
10723730,3
11214477,2
10748026,11
10862533,1
10808630,2
11073018,10
11297895,11
11356366,3
10935113,3
10874132,171
11160812,3
10741846,12
10876788,25
10861551,31
11752172,12
10942298,3
11763149,2
11590017,5
11676245,1
11533412,4
11672261,6
10762158,1
11364925,1
11738853,1
11614067,2
11710466,3
11334534,2
11333206,1
11702560,6
11364679,13
10696894,23
11289336,2
11622972,1
11549049,9
11244384,1
11367581,1
10956115,10
10705645,2
11170461,2
10869718,1
11454239,1
11351929,1
11360588,4
11532982,33
11698967,19
10693731,1
10833164,7
10655618,6
10696648,3
11337620,54
11817006,1
11030284,1
11448082,6
11286926,6
10944708,29
10761912,35
11125263,11
11837072,8
10962364,51
11703888,14
10750597,2
10890705,27
11066984,17
11115514,33
11188807,124
11218353,8
11410223,1
11732252,2
11656955,2
11800172,4
11794430,1
11636643,1
11104805,2
11729166,7
11449802,1
11103477,1
10805928,3
11642938,3
10862487,4
11703235,1
10731307,5
11110547,1
10738008,2
11486848,8
11764761,5
11834009,2
10661383,6
11702153,11
10721028,6
11206156,4
11109219,6
11255645,22
11801807,2
11374259,2
11793102,3
11247370,2
10736926,17
11211775,1
10717942,2
11297634,90
11350209,36
10857421,2
11105481,3
11102149,19
11207484,6
10739582,1
11175811,7
11369193,13
10751971,2
11075190,19
11105581,2
11191655,3
11207046,33
11073862,35
11368955,3
11683868,1
11811141,1
11346325,1
10673136,1
11461616,2
10798743,2
11602614,3
11531700,3
11223036,9
11307521,1
11334580,2
11323511,3
11200560,1
10844033,3
11465600,11
11367627,2
11002112,3
11490578,1
11048392,2
10895234,3
11409087,1
11423986,5
11162930,6
11751788,7
11288300,11
11192983,57
11644074,8
11479509,10
11017349,17
11342495,3
11171835,4
11184570,5
11213295,5
11810803,6
11688190,6
11380024,1
11332416,5
10767362,17
10832626,1
11205718,3
10840510,1
10708823,1
11631646,2
11732367,5
11421714,1
10775169,6
10698744,18
11772084,1
11435777,27
11634225,5
11698238,2
10819285,7
11696910,1
11710973,5
11830017,50
